gvkey,permno,adate,qdate,public_date,pe_exi,ps,npm,opmad,gpm,roa,roe,roce,totdebt_invcap,debt_ebitda,fcf_ocf,dltt_be,de_ratio,intcov_ratio,curr_ratio,divyield,TICKER
005073,12369,2009-12-31,2010-09-30,2011-01-31,-55.288,0.438,0.010,0.035,0.179,0.088,0.062,0.133,0.742,0.968,0.356,0.184,3.589,3.910,1.152,,
005073,12369,2010-12-31,2010-12-31,2011-02-28,11.602,0.389,0.046,0.044,0.177,0.092,0.303,0.160,0.267,0.925,0.381,0.257,2.699,4.975,,,GM
005073,12369,2010-12-31,2010-12-31,2011-03-31,10.737,0.357,0.046,0.044,0.177,0.092,0.303,0.160,0.267,0.925,0.381,0.257,2.699,4.975,,,GM
005073,12369,2010-12-31,2010-12-31,2011-04-30,11.104,0.369,0.046,0.044,0.177,0.092,0.303,0.160,0.267,0.925,0.381,0.257,2.699,4.975,,,GM
005073,12369,2010-12-31,2011-03-31,2011-05-31,3.860,0.354,0.060,0.042,0.174,0.093,0.357,0.175,0.254,0.810,-0.024,0.227,3.101,6.270,1.160,,GM
005073,12369,2010-12-31,2011-03-31,2011-06-30,3.684,0.325,0.060,0.042,0.174,0.093,0.357,0.175,0.254,0.810,-0.024,0.227,3.101,6.270,1.160,,GM
005073,12369,2010-12-31,2011-03-31,2011-07-31,3.359,0.296,0.060,0.042,0.174,0.093,0.357,0.175,0.254,0.810,-0.024,0.227,3.101,6.270,1.160,,GM
005073,12369,2010-12-31,2011-06-30,2011-08-31,3.342,0.246,0.068,0.043,0.170,0.093,0.395,0.181,0.250,0.869,0.161,0.279,2.915,7.066,1.171,,GM
005073,12369,2010-12-31,2011-06-30,2011-09-30,2.807,0.207,0.068,0.043,0.170,0.093,0.395,0.181,0.250,0.869,0.161,0.279,2.915,7.066,1.171,,GM
005073,12369,2010-12-31,2011-06-30,2011-10-31,3.595,0.265,0.068,0.043,0.170,0.093,0.395,0.181,0.250,0.869,0.161,0.279,2.915,7.066,1.171,,GM
005073,12369,2010-12-31,2011-09-30,2011-11-30,4.618,0.223,0.066,0.043,0.167,0.089,0.365,0.171,0.238,0.942,-0.105,0.312,2.620,8.163,,,GM
005073,12369,2010-12-31,2011-09-30,2011-12-31,4.397,0.213,0.066,0.043,0.167,0.089,0.365,0.171,0.238,0.942,-0.105,0.312,2.620,8.163,,,GM
005073,12369,2010-12-31,2011-09-30,2012-01-31,5.210,0.252,0.066,0.043,0.167,0.089,0.365,0.171,0.238,0.942,-0.105,0.312,2.620,8.163,,,GM
005073,12369,2011-12-31,2011-12-31,2012-02-29,5.681,0.271,0.061,0.047,0.167,0.092,0.349,0.180,0.295,1.064,0.133,0.291,2.665,8.516,,,GM
005073,12369,2011-12-31,2011-12-31,2012-03-31,5.600,0.267,0.061,0.047,0.167,0.092,0.349,0.180,0.295,1.064,0.133,0.291,2.665,8.516,,,GM
005073,12369,2011-12-31,2011-12-31,2012-04-30,5.022,0.240,0.061,0.047,0.167,0.092,0.349,0.180,0.295,1.064,0.133,0.291,2.665,8.516,,,GM
005073,12369,2011-12-31,2012-03-31,2012-05-31,6.435,0.229,0.047,0.049,0.167,0.090,0.235,0.174,0.254,0.980,0.271,0.301,2.615,10.209,1.223,,GM
005073,12369,2011-12-31,2012-03-31,2012-06-30,5.716,0.203,0.047,0.049,0.167,0.090,0.235,0.174,0.254,0.980,0.271,0.301,2.615,10.209,1.223,,GM
005073,12369,2011-12-31,2012-03-31,2012-07-31,5.713,0.203,0.047,0.049,0.167,0.090,0.235,0.174,0.254,0.980,0.271,0.301,2.615,10.209,1.223,,GM
005073,12369,2011-12-31,2012-06-30,2012-08-31,7.625,0.223,0.040,0.046,0.163,0.084,0.196,0.158,0.269,1.089,0.067,0.299,2.634,9.647,1.232,,GM
005073,12369,2011-12-31,2012-06-30,2012-09-30,8.125,0.237,0.040,0.046,0.163,0.084,0.196,0.158,0.269,1.089,0.067,0.299,2.634,9.647,1.232,,GM
005073,12369,2011-12-31,2012-06-30,2012-10-31,9.107,0.266,0.040,0.046,0.163,0.084,0.196,0.158,0.269,1.089,0.067,0.299,2.634,9.647,1.232,,GM
005073,12369,2011-12-31,2012-09-30,2012-11-30,9.729,0.269,0.038,0.043,0.160,0.082,0.187,0.149,0.297,1.212,0.177,0.309,2.747,8.650,1.238,,GM
005073,12369,2011-12-31,2012-09-30,2012-12-31,10.838,0.299,0.038,0.043,0.160,0.082,0.187,0.149,0.297,1.212,0.177,0.309,2.747,8.650,1.238,,GM
