ticker,pe,forward_pe,roe,debt_to_equity,profit_margin,market_cap
MMM,25.85008,18.750036,0.72920996,281.904,0.137,86328623104.0
AOS,18.26415,16.42392,0.28209,12.063,0.13851,9495181312.0
ABT,15.683416,21.99595,0.3062,25.31,0.3188,217278889984.0
ABBV,175.55725,16.135958,1.37961,,0.04004,406463086592.0
ACN,22.422663,18.220642,0.25016,25.694,0.107609995,168113438720.0
ADBE,21.185627,13.437833,0.55426,57.197,0.29997,150081961984.0
AMD,112.56021,33.286575,0.05317,6.366,0.10323,350012669952.0
AES,9.256578,6.0815363,0.05106,302.896,0.0874,10019542016.0
AFL,14.4415245,14.906809,0.1558,50.003,0.23552,58777980928.0
A,30.282274,21.092436,0.20618999,52.559,0.18754,39233622016.0
APD,,17.900267,-0.01923,106.228,-0.03277,55073652736.0
ABNB,32.576195,28.379416,0.30776,26.458,0.2203,83766083584.0
AKAM,25.929617,12.045944,0.10642,110.548,0.12262999,12720563200.0
ALB,,138.70294,0.00209,36.655,-0.00428,17655805952.0
ARE,,14.127906,-0.01084,66.083,-0.13436,8399297536.0
ALGN,30.69186,14.460373,0.095769994,3.064,0.095010005,11479665664.0
ALLE,21.728376,18.08098,0.36411,116.084,0.16092,13833076736.0
LNT,20.515722,19.01797,0.11461,163.145,0.19139,16770182144.0
ALL,6.738003,8.632181,0.34469002,29.43,0.12533,54756409344.0
GOOGL,30.948668,27.983244,0.3545,11.424,0.32233003,3797271445504.0
GOOG,31.061142,28.112667,0.3545,11.424,0.32233003,3802144702464.0
MO,10.992367,10.305441,,,0.4398,96761716736.0
AMZN,32.88826,29.639034,0.24327,43.405,0.11063,2485688991744.0
AMCR,27.733332,9.322965,0.07467,134.68,0.03345,19205554176.0
AEE,19.194231,18.659248,0.11387,155.736,0.1634,26998095872.0
AEP,16.96041,18.309835,0.12923001,152.132,0.17228001,61914169344.0
AXP,25.573826,21.803864,0.33935001,185.273,0.16143999,265165914112.0
AIG,15.553958,10.994641,0.07688,22.48,0.120170005,47910252544.0
AMT,28.180511,25.406788,0.28839,418.09,0.28106,82604204032.0
AWK,22.943762,21.433931,0.10457,140.983,0.21933001,25480335360.0
AMP,13.813101,12.075278,0.59589,54.222,0.19586,47308300288.0
AME,32.878548,26.117168,0.14632,26.09,0.20502001,48142352384.0
AMGN,25.768576,15.180759,0.8171,567.491,0.19474001,179276349440.0
APH,45.809998,34.259346,0.34807998,63.99,0.18218,168221949952.0
ADI,60.57768,24.632545,0.06573,26.5,0.20575,135555842048.0
AON,28.577724,18.725323,0.3769,214.88,0.15962,76903219200.0
APA,5.7846894,8.984673,0.27427998,66.895,0.16093999,8651277312.0
APO,21.650146,16.044249,0.16549,94.598,0.15777001,86204366848.0
AAPL,36.648792,29.863201,1.7142199,152.411,0.26915002,4057362333696.0
