costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,fqtr,fyearq,rdq,actq,atq,ceqq,cheq,cogsq,cshoq,dlcq,dlttq,ivstq,lctq,ltq,niq,oibdpq,saleq,xintq,xsgaq,capxy,niy,oancfy,oibdpy,prccq
A,USD,STD,INDL,C,TSLA,2015-03-31,184996,1,2015,2015-05-06,2921.4170,6120.0300,825.9970,1530.7690,602.6950,126.3620,630.3320,1899.9370,20.6930,2192.3810,5239.7560,-154.1810,-25.3340,939.8800,34.8740,362.5190,426.0600,-154.1810,-131.7940,-25.3340,188.770000000000
A,USD,STD,INDL,C,TSLA,2015-06-30,184996,2,2015,2015-08-05,2628.6210,6468.1850,715.9340,1171.2640,650.2170,127.1010,638.2750,1999.3430,20.5910,2384.3880,5701.9780,-184.2270,-78.7990,954.9760,36.6520,383.5580,831.2250,-338.4080,-291.3100,-104.1330,268.260000000000
A,USD,STD,INDL,C,TSLA,2015-09-30,184996,3,2015,2015-11-03,2998.7950,7547.4970,1314.6560,1451.2590,594.9270,130.9010,651.8090,1981.3940,25.2230,2553.7710,6186.6600,-229.8580,-73.2960,936.7890,41.1080,415.1580,1223.6280,-568.2660,-494.6500,-177.4290,248.400000000000
A,USD,STD,INDL,C,TSLA,2015-12-31,184996,4,2015,2016-02-10,2791.5680,8092.4600,1088.9440,1219.5360,852.0930,131.4250,633.1660,2040.3750,22.6280,2816.2740,6961.4710,-320.3970,-116.6100,1214.3800,47.7170,478.8970,1634.8500,-888.6630,-524.4990,-294.0390,240.010000000000
A,USD,STD,INDL,C,TSLA,2016-03-31,184996,1,2016,2016-05-04,3239.5430,9191.7020,970.3650,1465.7690,738.1200,133.8580,635.2850,2484.3290,23.9800,3187.6990,8178.7110,-282.2670,-91.7640,1147.0480,49.7250,500.6920,216.8590,-282.2670,-249.6050,-91.7640,229.770000000000
A,USD,STD,INDL,C,TSLA,2016-06-30,184996,2,2016,2016-08-03,5203.7050,11868.9520,2520.2940,3270.8260,812.0090,148.0150,626.8260,2620.0020,24.5250,3766.4040,9311.5120,-293.1880,-54.8080,1270.0170,56.2680,512.8160,511.5790,-575.4550,-99.2690,-146.5720,212.280000000000
A,USD,STD,INDL,C,TSLA,2016-09-30,184996,3,2016,2016-10-26,5172.4120,12592.3970,2680.4880,3107.9680,1381.2340,149.8250,260.7710,2443.4200,23.7110,4082.3900,9900.6390,21.8780,366.0890,2298.4360,58.1130,551.1130,759.1900,-553.5770,324.3800,219.5170,204.030000000000
A,USD,STD,INDL,C,TSLA,2016-12-31,184996,4,2016,2017-02-22,6259.7960,22664.0760,4752.9110,3498.7350,1522.4130,161.5610,1202.1780,6053.8600,105.5190,5827.0050,16750.1670,-121.3370,81.9420,2284.6310,81.4040,680.2760,1440.4710,-674.9140,-123.8290,301.4590,213.690000000000
A,USD,STD,INDL,C,TSLA,2017-03-31,184996,1,2017,2017-05-03,7027.8890,25053.7260,4987.7190,4095.5390,1651.7220,164.1640,1003.3110,7247.3820,88.9460,6245.4390,18885.3530,-330.2770,186.0530,2696.2700,122.6460,858.4950,772.5720,-330.2770,-69.8110,186.0530,278.300000000000
A,USD,STD,INDL,C,TSLA,2017-06-30,184996,2,2017,2017-08-02,6359.4440,26043.7050,5105.7520,3154.2930,1733.7710,166.8630,816.5330,7215.4930,118.3690,6546.3550,19459.9020,-336.3970,148.2550,2789.5570,143.8410,907.5310,1930.4840,-666.6740,-269.9830,334.3080,361.610000000000
A,USD,STD,INDL,C,TSLA,2017-09-30,184996,3,2017,2017-11-01,7068.7330,28107.0740,4711.4800,3668.2110,2134.9110,168.0170,424.2240,9656.4750,138.1810,6468.9400,21929.0570,-619.3760,-134.8560,2984.6750,154.4090,984.6200,3175.2110,-1286.0500,-570.5450,199.4520,341.100000000000
A,USD,STD,INDL,C,TSLA,2017-12-31,184996,4,2017,2018-02-07,6570.5200,28655.3720,4237.2420,3523.2370,2379.8570,168.7970,963.8620,9486.2480,155.3230,7674.6700,23022.9800,-675.3500,-128.5350,3288.2490,175.2630,1036.9270,4081.3540,-1961.4000,-60.6540,70.9170,311.350000000000
